OBJECTID,GID,CITY_NM,CITY_NBR,CITY_FIPS,INC_FLAG,CNTY_SEAT,POP1990,POP2000,POP2010,POP2020,CNTY_NBR,DIST_NBR
2581,458,Sims,,0,N,N,,,,,21,17
2582,459,Smetana,,4868288,N,N,,,,,21,17
2583,460,Law,,4841836,N,N,,,,,21,17
2584,47,Salem,,4864292,N,N,,,,,37,10
2585,461,Wellborn,,4877140,N,N,,,,,21,17
2586,462,Millican,,4848516,N,N,,,240,,21,17
2587,463,Cawthon,,4813384,N,N,,,,,21,17
2588,464,Oakhurst,,4852992,N,N,,,233,,204,11
2589,465,Stephen Creek,,4870184,N,N,,,,,204,11
2590,466,Camilla,,4812064,N,N,,,,,204,11
2591,467,Urbana,,4874552,N,N,,,,,204,11
2592,468,Evergreen,,4824888,N,N,,,73,,204,11
2593,469,Pumpkin,,4859852,N,N,,,,,204,11
2594,470,Maynard,,4847256,N,N,,,,,204,11
2595,48,Red Lawn,,4861160,N,N,,,,,37,10
2596,472,Fredonia,,4827360,N,N,,,,,157,14
2597,473,Katemcy,,4838464,N,N,,,,,157,14
2598,474,Pontotoc,,4858700,N,N,,,,,157,14
2599,475,Camp Air,,0,N,N,,,,,157,14
2600,476,Grit,,4831244,N,N,,,,,157,14
2601,477,Koockville,,4839772,N,N,,,,,157,14
2602,478,Art,,4804180,N,N,,,,,157,14
2603,479,Streeter,,4870592,N,N,,,,,157,14
2604,480,Loyal Valley,,4844320,N,N,,,,,157,14
2605,49,Holcombs Store,,4834436,N,N,,,,,37,10
2606,481,Tow,,4873424,N,N,,,,,150,14
2607,482,Valley Spring,,4874744,N,N,,,,,150,14
2608,483,Bluffton,,4808980,N,N,,,,,150,14
2609,484,Lone Grove,,4843600,N,N,,,,,150,14
2610,485,Buchanan Dam,,4810984,N,N,,,1519,,150,14
2611,486,Castell,,4813240,N,N,,,,,150,14
2612,487,Kingsland,,4839304,N,N,,,6030,,150,14
2613,488,Sivells Bend,,4868072,N,N,,,,,49,3
2614,489,Dexter,,4820236,N,N,,,,,49,3
2615,490,Bulcher,,4811200,N,N,,,,,49,3
2616,50,Linwood,,4842928,N,N,,,,,37,10
2617,491,Marysville,,4846956,N,N,,,,,49,3
2618,492,Sturgeon,,4870712,N,N,,,,,49,3
2619,493,Myra,,4850220,N,N,,,,,49,3
2620,340,Highland Addition,,4833752,N,N,,,,,184,2
2621,35,Turney,,4874024,N,N,,,,,37,10
2622,341,Key,,4839076,N,N,,,,,58,5
2623,342,Sand,,4865072,N,N,,,,,58,5
2624,343,Midway,,4848252,N,N,,,228,238,225,19
2625,344,Tenmile,,0,N,N,,,,,58,5
2626,345,Sparenberg,,4869416,N,N,,,,,58,5
2627,346,Klondike,,4839604,N,N,,,,,60,1
2628,347,Patricia,,4856072,N,N,,,,,58,5
2629,348,Gail,,4827972,N,Y,,,231,,17,8
2630,349,Fluvanna,,4826280,N,N,,,,,208,8
2631,350,Dermott,,4820044,N,N,,,,,208,8
2632,36,Ponta,,4858688,N,N,,,,,37,10
2633,351,Wilson,,0,N,N,,,489,493,74,9
2634,352,Otto,,4854408,N,N,,,,,74,9
2635,353,Perry,,4856888,N,N,,,,,74,9
2636,354,McClanahan,,4845456,N,N,,,,,74,9
2637,355,Sherwood,,4867532,N,N,,,,,119,7
2638,356,Fife,,4825788,N,N,,,,,160,23
2639,357,Lohn,,4843372,N,N,,,,,160,23
2640,358,Placid,,4857956,N,N,,,,,160,23
2641,359,Salt Gap,,4864376,N,N,,,,,160,23
2642,360,Rochelle,,4862624,N,N,,,,,160,23
2643,37,Elm Grove,,4823296,N,N,,,,,37,10
2644,361,Voca,,4875740,N,N,,,,,160,23
2645,362,Camp San Saba,,4812268,N,N,,,,,160,23
2646,363,Stacy,,4869884,N,N,,,,,160,23
2647,364,Waldrip,,4876156,N,N,,,,,160,23
2648,365,Milburn,,4848348,N,N,,,,,160,23
2649,366,Mercury,,4847736,N,N,,,,,160,23
2650,367,Doole,,4820920,N,N,,,,,160,23
2651,368,Calf Creek,,4811884,N,N,,,,,160,23
2652,369,Electric City,,4822996,N,N,,,,,118,4
2653,370,Phillips,,4857236,N,N,,,,,118,4
2654,38,Pierces Chapel,,4857404,N,N,,,,,37,10
2655,371,Bunavista,,4811248,N,N,,,,,118,4
2656,372,Glazier,,4829732,N,N,,,,,107,4
2657,373,Boys Ranch,,4809796,N,N,,,282,,180,4
2658,374,Midyett,,4848288,N,N,,,,,183,19
2659,375,River Hill,,4862324,N,N,,,,,183,19
2660,376,Riderville,,4861952,N,N,,,,,183,19
2661,377,Holland Quarters,,4834520,N,N,,,,,183,19
2662,378,Delray,,4819780,N,N,,,,,183,19
2663,3210,Friendswood,15320,4827648,Y,N,22814,29037,35805,40011,85,12
2664,3211,Beverly Hills,4000,4808104,Y,N,2048,2113,1995,1980,161,9
2665,322,Martin Springs,,4846884,N,N,,,,,113,1
2666,3212,New Fairview,29980,4850920,Y,N,,877,1258,1557,249,2
2667,3213,Pantego,31850,4855020,Y,N,2371,2318,2394,2496,220,2
2668,3214,Hondo,19550,4834676,Y,Y,6018,7897,8803,9492,163,15
2669,3215,Ingram,20390,4836032,Y,N,1408,1740,1804,1871,133,15
2670,3216,Groom,17500,4831292,Y,N,613,587,574,547,33,4
2671,3217,Miami,28050,4847988,Y,Y,675,588,597,521,197,4
2672,3218,Bishop Hills,4310,4808398,Y,N,,210,193,173,188,4
2673,3219,Muleshoe,29250,4849968,Y,Y,4571,4530,5158,4822,9,5
2674,3220,Amherst,1050,4803084,Y,N,742,791,721,652,140,5
2675,3221,McLendon-Chisholm,26170,4845804,Y,N,646,914,1373,3815,199,18
2676,323,Pickton,,4857332,N,N,,,,,113,1
2677,3222,Grapevine,17200,4830644,Y,N,29202,42059,46334,55780,220,2
2678,3223,Saginaw,37250,4864112,Y,N,8551,12374,19806,24860,220,2
2679,3224,Alma,670,4802044,Y,N,205,302,331,400,71,18
