,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperml,SampleName,date_of_collection
163,Haskell,NA,NOROVIRUS,NA,0,NA,2022-09-05
164,Homestead,H0-22-0906,NOROVIRUS,Undetermined,0,H0-22-0906,2022-09-05
165,Intercontinental Airport,IA-22-0906,NOROVIRUS,Undetermined,30291046.8393629,IA-22-0906,2022-09-05
166,John T. Hickerson,22-26553,NOROVIRUS,Undetermined,0,22-26553,2022-09-05
167,Metro Central,MC-22-0906,NOROVIRUS,Undetermined,3126029.8563707,MC-22-0906,2022-09-05
168,Park Ten,PT-22-0906,NOROVIRUS,Undetermined,0,PT-22-0906,2022-09-05
169,Roberto Bustamante,22-26556,NOROVIRUS,Undetermined,811552.914504581,22-26556,2022-09-05
170,Turkey Creek,TC-22-0906,NOROVIRUS,Undetermined,0,TC-22-0906,2022-09-05
171,Almeda Sims,AS-22-0912,NOROVIRUS,Undetermined,1088544.29369365,AS-22-0912,2022-09-12
172,Fred Hurvey,22-27750,NOROVIRUS,Undetermined,683095.466723133,22-27750,2022-09-12
173,Haskell,22-27751,NOROVIRUS,Undetermined,240036.570216363,22-27751,2022-09-12
174,Homestead,NA,NOROVIRUS,NA,0,NA,2022-09-12
175,Intercontinental Airport,IA-22-0912,NOROVIRUS,Undetermined,829521.103308858,IA-22-0912,2022-09-12
176,John T. Hickerson,22-27749,NOROVIRUS,Undetermined,0,22-27749,2022-09-12
177,Metro Central,MC-22-0912,NOROVIRUS,Undetermined,1616467.91850888,MC-22-0912,2022-09-12
178,Park Ten,NA,NOROVIRUS,NA,0,NA,2022-09-12
179,Roberto Bustamante,22-27752,NOROVIRUS,Undetermined,231784.282557646,22-27752,2022-09-12
180,Turkey Creek,TC-22-0912,NOROVIRUS,Undetermined,605893.920945529,TC-22-0912,2022-09-12
181,Almeda Sims,AS-22-0926,NOROVIRUS,Undetermined,22732236.012846,AS-22-0926,2022-09-19
182,Fred Hurvey,22-28764,NOROVIRUS,Undetermined,2736826.48953886,22-28764,2022-09-19
