,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperml,SampleName,date_of_collection
137,Metro Central,MC-22-0808,SARSCOV2N1,Undetermined,366866.716841454,MC-22-0808,2022-08-08
138,Park Ten,PT-22-0808,SARSCOV2N1,Undetermined,176289.16210904,PT-22-0808,2022-08-08
139,Roberto Bustamante,22-23438,SARSCOV2N1,Undetermined,728081.250470489,22-23438,2022-08-08
140,Turkey Creek,TC-22-0808,SARSCOV2N1,Undetermined,472495.707737468,TC-22-0808,2022-08-08
141,Almeda Sims,AS-22-0815,SARSCOV2N1,Undetermined,243554.208987186,AS-22-0815,2022-08-15
142,Fred Hurvey,FH-22-24166,SARSCOV2N1,Undetermined,1165332.17447618,FH-22-24166,2022-08-15
143,Haskell,HS 22-24167,SARSCOV2N1,Undetermined,373252.862040032,HS 22-24167,2022-08-15
144,Homestead,HO 22-0815,SARSCOV2N1,Undetermined,185140.379395477,HO 22-0815,2022-08-15
145,Intercontinental Airport,IA-22-0815,SARSCOV2N1,Undetermined,45715.9779574524,IA-22-0815,2022-08-15
146,John T. Hickerson,JT-22-24165,SARSCOV2N1,Undetermined,130202.639717773,JT-22-24165,2022-08-15
147,Metro Central,MC-22-0815,SARSCOV2N1,Undetermined,796817.323163392,MC-22-0815,2022-08-15
148,Park Ten,PT-22-0815,SARSCOV2N1,Undetermined,221456.613195905,PT-22-0815,2022-08-15
149,Roberto Bustamante,RB 22-24168,SARSCOV2N1,Undetermined,2051061.61308447,RB 22-24168,2022-08-15
150,Turkey Creek,TC-22-0815,SARSCOV2N1,Undetermined,1313602.26172891,TC-22-0815,2022-08-15
151,Almeda Sims,AS-22-0822,SARSCOV2N1,Undetermined,176384.22806258,AS-22-0822,2022-08-22
152,Fred Hurvey,FH-22-24933,SARSCOV2N1,Undetermined,361752.555253052,FH-22-24933,2022-08-22
153,Haskell,HS 22-24934,SARSCOV2N1,Undetermined,143531.730170982,HS 22-24934,2022-08-22
154,Homestead,HO 22-0822,SARSCOV2N1,Undetermined,223233.651779858,HO 22-0822,2022-08-22
155,Intercontinental Airport,IA-22-0822,SARSCOV2N1,Undetermined,463025.108094356,IA-22-0822,2022-08-22
156,John T. Hickerson,JT-22-24932,SARSCOV2N1,Undetermined,92173.5328447286,JT-22-24932,2022-08-22
157,Metro Central,MC-22-0822,SARSCOV2N1,Undetermined,809849.970080448,MC-22-0822,2022-08-22
158,Park Ten,PT-22-0822,SARSCOV2N1,Undetermined,169174.749432294,PT-22-0822,2022-08-22
159,Roberto Bustamante,RB 22-24935,SARSCOV2N1,Undetermined,556264.921657015,RB 22-24935,2022-08-22
160,Turkey Creek,TC-22-0822,SARSCOV2N1,Undetermined,474636.694025565,TC-22-0822,2022-08-22
161,Almeda Sims,AS-22-0829,SARSCOV2N1,Undetermined,60528.7065491086,AS-22-0829,2022-08-29
162,Fred Hurvey,FH-22-26074,SARSCOV2N1,Undetermined,378579.301347469,FH-22-26074,2022-08-29
163,Haskell,HS 22-26075,SARSCOV2N1,Undetermined,52398.1329584855,HS 22-26075,2022-08-29
164,Homestead,HO 22-0829,SARSCOV2N1,Undetermined,344581.179759651,HO 22-0829,2022-08-29
165,Intercontinental Airport,IA-22-0829,SARSCOV2N1,Undetermined,67617.6149789584,IA-22-0829,2022-08-29
166,John T. Hickerson,JT-22-26073,SARSCOV2N1,Undetermined,25347.5038021124,JT-22-26073,2022-08-29
167,Metro Central,MC-22-0829,SARSCOV2N1,Undetermined,297196.403276465,MC-22-0829,2022-08-29
168,Park Ten,PT-22-0829,SARSCOV2N1,Undetermined,292593.699169808,PT-22-0829,2022-08-29
169,Roberto Bustamante,RB 22-26076,SARSCOV2N1,Undetermined,341818.856158566,RB 22-26076,2022-08-29
170,Turkey Creek,TC-22-0829,SARSCOV2N1,Undetermined,203400.677949327,TC-22-0829,2022-08-29
171,Almeda Sims,AS-22-0906,SARSCOV2N1,Undetermined,3782.90750417791,AS-22-0906,2022-09-05
172,Fred Hurvey,22-26554,SARSCOV2N1,Undetermined,57037.286218117,22-26554,2022-09-05
173,Haskell,NA,SARSCOV2N1,NA,0,NA,2022-09-05
174,Homestead,H0-22-0906,SARSCOV2N1,Undetermined,70.9998300699543,H0-22-0906,2022-09-05
175,Intercontinental Airport,IA-22-0906,SARSCOV2N1,Undetermined,254935.729861869,IA-22-0906,2022-09-05
176,John T. Hickerson,NA,SARSCOV2N1,NA,0,NA,2022-09-05
177,Metro Central,MC-22-0906,SARSCOV2N1,Undetermined,330307.760264933,MC-22-0906,2022-09-05
178,Park Ten,PT-22-0906,SARSCOV2N1,Undetermined,62396.1278313441,PT-22-0906,2022-09-05
179,Roberto Bustamante,22-26556,SARSCOV2N1,Undetermined,78820.0533266394,22-26556,2022-09-05
180,Turkey Creek,TC-22-0906,SARSCOV2N1,Undetermined,218970.536735362,TC-22-0906,2022-09-05
181,Almeda Sims,AS-22-0912,SARSCOV2N1,Undetermined,16881.8384055446,AS-22-0912,2022-09-12
182,Fred Hurvey,22-27750,SARSCOV2N1,Undetermined,71090.6276302147,22-27750,2022-09-12
183,Haskell,22-27751,SARSCOV2N1,Undetermined,123907.747794678,22-27751,2022-09-12
184,Homestead,NA,SARSCOV2N1,NA,0,NA,2022-09-12
185,Intercontinental Airport,IA-22-0912,SARSCOV2N1,Undetermined,132489.871609597,IA-22-0912,2022-09-12
186,John T. Hickerson,22-27749,SARSCOV2N1,Undetermined,69537.2975994877,22-27749,2022-09-12
187,Metro Central,MC-22-0912,SARSCOV2N1,Undetermined,81415.1913767924,MC-22-0912,2022-09-12
188,Park Ten,NA,SARSCOV2N1,NA,0,NA,2022-09-12
189,Roberto Bustamante,22-27752,SARSCOV2N1,Undetermined,132432.638171541,22-27752,2022-09-12
190,Turkey Creek,TC-22-0912,SARSCOV2N1,Undetermined,90864.367905706,TC-22-0912,2022-09-12
191,Almeda Sims,AS-22-0919,SARSCOV2N1,Undetermined,46065.8281506349,AS-22-0919,2022-09-19
192,Fred Hurvey,22-28141,SARSCOV2N1,Undetermined,241812.92385904,22-28141,2022-09-19
193,Haskell,22-28142,SARSCOV2N1,Undetermined,162464.086659162,22-28142,2022-09-19
194,Homestead,HO-22-0919,SARSCOV2N1,Undetermined,45757.8400408945,HO-22-0919,2022-09-19
195,Intercontinental Airport,IA-22-0919,SARSCOV2N1,Undetermined,27106.5352856201,IA-22-0919,2022-09-19
196,John T. Hickerson,22-28140,SARSCOV2N1,Undetermined,170124.838309685,22-28140,2022-09-19
197,Metro Central,MC-22-0919,SARSCOV2N1,Undetermined,98418.1803891538,MC-22-0919,2022-09-19
198,Park Ten,PT-22-0919,SARSCOV2N1,Undetermined,281340.274616342,PT-22-0919,2022-09-19
199,Roberto Bustamante,22-28143,SARSCOV2N1,Undetermined,230397.906038058,22-28143,2022-09-19
200,Turkey Creek,TC-22-0919,SARSCOV2N1,Undetermined,75618.63764571,TC-22-0919,2022-09-19
201,Almeda Sims,AS-22-0926,SARSCOV2N1,Undetermined,5308.71498845649,AS-22-0926,2022-09-26
202,Fred Hurvey,22-28764,SARSCOV2N1,Undetermined,17451.9408538861,22-28764,2022-09-26
203,Haskell,22-28765,SARSCOV2N1,Undetermined,937.7709479108,22-28765,2022-09-26
204,Homestead,HO-22-0926,SARSCOV2N1,Undetermined,6223.88313679145,HO-22-0926,2022-09-26
205,Intercontinental Airport,IA-22-0926,SARSCOV2N1,Undetermined,6574.8841666132,IA-22-0926,2022-09-26
206,John T. Hickerson,22-28763,SARSCOV2N1,Undetermined,0,22-28763,2022-09-26
207,Metro Central,MC-22-0926,SARSCOV2N1,Undetermined,5709.94991339408,MC-22-0926,2022-09-26
208,Park Ten,PT-22-0926,SARSCOV2N1,Undetermined,9457.11032315022,PT-22-0926,2022-09-26
209,Roberto Bustamante,22-28766,SARSCOV2N1,Undetermined,3751.68015864989,22-28766,2022-09-26
210,Turkey Creek,TC-22-0926,SARSCOV2N1,Undetermined,15470.4256937465,TC-22-0926,2022-09-26
211,Almeda Sims,AS-22-1003,SARSCOV2N1,Undetermined,22343.3769781585,AS-22-1003,2022-10-03
212,Fred Hurvey,22-30170,SARSCOV2N1,Undetermined,497741.496269265,22-30170,2022-10-03
213,Haskell,22-30171,SARSCOV2N1,Undetermined,353586.265233505,22-30171,2022-10-03
214,Homestead,NA,SARSCOV2N1,NA,0,NA,2022-10-03
215,Intercontinental Airport,IA-22-1003,SARSCOV2N1,Undetermined,152083.113288492,IA-22-1003,2022-10-03
216,John T. Hickerson,22-30169,SARSCOV2N1,Undetermined,206658.972452567,22-30169,2022-10-03
217,Metro Central,MC-22-1003,SARSCOV2N1,Undetermined,146761.817377505,MC-22-1003,2022-10-03
218,Park Ten,PT-22-1003,SARSCOV2N1,Undetermined,101692.509517849,PT-22-1003,2022-10-03
219,Roberto Bustamante,22-30172,SARSCOV2N1,Undetermined,434503.618076794,22-30172,2022-10-03
220,Turkey Creek,TC-22-1003,SARSCOV2N1,Undetermined,169075.324516095,TC-22-1003,2022-10-03
221,Almeda Sims,AS-22-1010,SARSCOV2N1,Undetermined,2724.69546836765,AS-22-1010,2022-10-10
222,Fred Hurvey,22-30708,SARSCOV2N1,Undetermined,49854.5923462733,22-30708,2022-10-10
223,Haskell,22-30709,SARSCOV2N1,Undetermined,5244.8222319233,22-30709,2022-10-10
224,Homestead,HO-22-1010,SARSCOV2N1,Undetermined,10776.2170856209,HO-22-1010,2022-10-10
225,Intercontinental Airport,IA-22-1010,SARSCOV2N1,Undetermined,4392.61618195552,IA-22-1010,2022-10-10
226,John T. Hickerson,22-30707,SARSCOV2N1,Undetermined,2532.93384141075,22-30707,2022-10-10
227,Metro Central,MC-22-1010,SARSCOV2N1,Undetermined,15761.6864807655,MC-22-1010,2022-10-10
228,Park Ten,PT-22-1010,SARSCOV2N1,Undetermined,24239.6509995534,PT-22-1010,2022-10-10
229,Roberto Bustamante,22-30710,SARSCOV2N1,Undetermined,72863.0177901322,22-30710,2022-10-10
230,Turkey Creek,TC-22-1010,SARSCOV2N1,Undetermined,18561.0758718822,TC-22-1010,2022-10-10
231,Almeda Sims,AS-22-1017,SARSCOV2N1,Undetermined,3897.95729212783,AS-22-1017,2022-10-17
232,Fred Hurvey,22-31391,SARSCOV2N1,Undetermined,45412.0648655222,22-31391,2022-10-17
